PERMNO,date,TICKER,COMNAM,PRC,vwretd
18163,5/30/1986,PG,PROCTER & GAMBLE CO,77.875,0.050844
18163,6/30/1986,PG,PROCTER & GAMBLE CO,80.125,0.014246
18163,7/31/1986,PG,PROCTER & GAMBLE CO,77.375,-0.0597
18163,8/29/1986,PG,PROCTER & GAMBLE CO,80,0.066181
18163,9/30/1986,PG,PROCTER & GAMBLE CO,67.75,-0.079021
18163,10/31/1986,PG,PROCTER & GAMBLE CO,75,0.049303
18163,11/28/1986,PG,PROCTER & GAMBLE CO,77.75,0.015093
18163,12/31/1986,PG,PROCTER & GAMBLE CO,76.375,-0.026388
18163,1/30/1987,PG,PROCTER & GAMBLE CO,88,0.128496
18163,2/27/1987,PG,PROCTER & GAMBLE CO,86.75,0.047918
18163,3/31/1987,PG,PROCTER & GAMBLE CO,92,0.023664
18163,4/30/1987,PG,PROCTER & GAMBLE CO,84.75,-0.017001
18163,5/29/1987,PG,PROCTER & GAMBLE CO,91.5,0.005125
18163,6/30/1987,PG,PROCTER & GAMBLE CO,98,0.043662
18163,7/31/1987,PG,PROCTER & GAMBLE CO,93.125,0.044248
18163,8/31/1987,PG,PROCTER & GAMBLE CO,102.875,0.037146
18163,9/30/1987,PG,PROCTER & GAMBLE CO,101,-0.020774
18163,10/30/1987,PG,PROCTER & GAMBLE CO,88.25,-0.225363
18163,11/30/1987,PG,PROCTER & GAMBLE CO,81.375,-0.072273
18163,12/31/1987,PG,PROCTER & GAMBLE CO,85.375,0.070327
18163,1/29/1988,PG,PROCTER & GAMBLE CO,84.875,0.04488
18163,2/29/1988,PG,PROCTER & GAMBLE CO,84.25,0.051695
18163,3/31/1988,PG,PROCTER & GAMBLE CO,77.875,-0.016598
18163,4/29/1988,PG,PROCTER & GAMBLE CO,77.125,0.010991
18163,5/31/1988,PG,PROCTER & GAMBLE CO,76.375,0.000448
18163,6/30/1988,PG,PROCTER & GAMBLE CO,77.5,0.051459
18163,7/29/1988,PG,PROCTER & GAMBLE CO,75.125,-0.007272
18163,8/31/1988,PG,PROCTER & GAMBLE CO,74.625,-0.028006
18163,9/30/1988,PG,PROCTER & GAMBLE CO,80,0.037202
18163,10/31/1988,PG,PROCTER & GAMBLE CO,82.625,0.017646
18163,11/30/1988,PG,PROCTER & GAMBLE CO,81.875,-0.016412
18163,12/30/1988,PG,PROCTER & GAMBLE CO,87,0.021075
18163,1/31/1989,PG,PROCTER & GAMBLE CO,92.125,0.066103
18163,2/28/1989,PG,PROCTER & GAMBLE CO,88.625,-0.016446
18163,3/31/1989,PG,PROCTER & GAMBLE CO,92.5,0.021465
18163,4/28/1989,PG,PROCTER & GAMBLE CO,95.625,0.048204
18163,5/31/1989,PG,PROCTER & GAMBLE CO,102.75,0.039338
18163,6/30/1989,PG,PROCTER & GAMBLE CO,108.375,-0.004866
18163,7/31/1989,PG,PROCTER & GAMBLE CO,119.375,0.077131
18163,8/31/1989,PG,PROCTER & GAMBLE CO,128.5,0.022127
18163,9/29/1989,PG,PROCTER & GAMBLE CO,120,-0.001474
18163,10/31/1989,PG,PROCTER & GAMBLE CO,129.125,-0.029285
18163,11/30/1989,PG,PROCTER & GAMBLE CO,64.75,0.017814
18163,12/29/1989,PG,PROCTER & GAMBLE CO,70.25,0.018295
18163,1/31/1990,PG,PROCTER & GAMBLE CO,64,-0.070115
18163,2/28/1990,PG,PROCTER & GAMBLE CO,63.875,0.014901
18163,3/30/1990,PG,PROCTER & GAMBLE CO,67.75,0.02414
18163,4/30/1990,PG,PROCTER & GAMBLE CO,70.625,-0.028286
18163,5/31/1990,PG,PROCTER & GAMBLE CO,82.625,0.088934
18163,6/29/1990,PG,PROCTER & GAMBLE CO,87.125,-0.004196
18163,7/31/1990,PG,PROCTER & GAMBLE CO,86.75,-0.009403
18163,8/31/1990,PG,PROCTER & GAMBLE CO,77,-0.091905
18163,9/28/1990,PG,PROCTER & GAMBLE CO,72.875,-0.053843
18163,10/31/1990,PG,PROCTER & GAMBLE CO,78.625,-0.012504
18163,11/30/1990,PG,PROCTER & GAMBLE CO,82.875,0.065744
18163,12/31/1990,PG,PROCTER & GAMBLE CO,86.625,0.029513
18163,1/31/1991,PG,PROCTER & GAMBLE CO,79.25,0.049078
18163,2/28/1991,PG,PROCTER & GAMBLE CO,81.25,0.075847
18163,3/28/1991,PG,PROCTER & GAMBLE CO,85.125,0.028923
18163,4/30/1991,PG,PROCTER & GAMBLE CO,83.875,0.003315
18163,5/31/1991,PG,PROCTER & GAMBLE CO,85.125,0.040733
18163,6/28/1991,PG,PROCTER & GAMBLE CO,77.375,-0.044029
