caldt,Value Weighted Return (incl. dividends),Value Weighted Return (ex dividends),S&P Composite Return
20080229,-0.031419,-0.033693,-0.034761
20080331,-0.0034,-0.005054,-0.00596
20080430,0.048629,0.04749,0.047547
20080530,0.012986,0.010708,0.010674
20080630,-0.082842,-0.084569,-0.085962
20080731,-0.007306,-0.008738,-0.009859
20080829,0.014955,0.012682,0.012191
20080930,-0.085467,-0.087287,-0.090791
20081031,-0.16698,-0.168455,-0.169425
20081128,-0.073512,-0.076514,-0.074849
20081231,0.011995,0.009229,0.007822
20090130,-0.082615,-0.084039,-0.085657
20090227,-0.103588,-0.107402,-0.109931
20090331,0.087634,0.084154,0.085405
20090430,0.09423,0.09255,0.093925
20090529,0.05464,0.051848,0.053081
20090630,0.002476,0.00068,0.000196
20090731,0.074482,0.073101,0.074142
20090831,0.034751,0.032255,0.03356
20090930,0.036534,0.034978,0.035723
20091030,-0.018259,-0.019458,-0.019762
20091130,0.060257,0.057607,0.057364
20091231,0.018983,0.017346,0.017771
20100129,-0.035751,-0.036781,-0.036974
20100226,0.030424,0.028014,0.028514
20100331,0.061014,0.05943,0.058796
20100430,0.015977,0.014957,0.014759
20100528,-0.080111,-0.082337,-0.081976
20100630,-0.053525,-0.055115,-0.053882
20100730,0.070451,0.06862,0.068778
20100831,-0.045434,-0.04784,-0.047449
20100930,0.090383,0.088751,0.087551
20101029,0.038726,0.037081,0.036856
20101130,-0.000051,-0.002571,-0.00229
20101231,0.067054,0.065249,0.0653
20110131,0.023349,0.022319,0.022646
20110228,0.032508,0.030251,0.031957
20110331,0.000625,-0.000867,-0.001047
20110429,0.029441,0.028358,0.028495
20110531,-0.011313,-0.013573,-0.013501
20110630,-0.016545,-0.018106,-0.018258
20110729,-0.019828,-0.020982,-0.021474
20110831,-0.054322,-0.056734,-0.056791
20110930,-0.070238,-0.071739,-0.071762
20111031,0.109014,0.107554,0.107723
20111130,-0.002727,-0.005552,-0.005059
20111230,0.009427,0.007613,0.008533
20120131,0.045205,0.044003,0.043583
20120229,0.04334,0.040744,0.040589
20120330,0.032866,0.031282,0.031332
20120430,-0.006034,-0.007237,-0.007497
20120531,-0.05979,-0.062433,-0.062651
20120629,0.041465,0.039888,0.039555
20120731,0.014363,0.013096,0.012598
20120831,0.022744,0.019938,0.019763
